filename,gt_area_px,pred_area_px,abs_area_diff_px,relative_area_diff
train_Subject_14_0.png,0,1456,1456,inf
train_Subject_14_1.png,0,1877,1877,inf
train_Subject_14_10.png,0,1071,1071,inf
train_Subject_14_100.png,0,16288,16288,inf
train_Subject_14_101.png,0,16165,16165,inf
train_Subject_14_174.png,17,17630,17613,1036.0588235294117
train_Subject_14_175.png,54,18162,18108,335.3333333333333
train_Subject_14_176.png,69,18287,18218,264.0289855072464
train_Subject_14_177.png,77,18278,18201,236.37662337662337
train_Subject_14_178.png,82,18117,18035,219.9390243902439
train_Subject_14_179.png,79,18063,17984,227.64556962025316
train_Subject_14_180.png,88,18501,18413,209.23863636363637
train_Subject_14_181.png,108,17626,17518,162.2037037037037
train_Subject_14_182.png,144,17444,17300,120.13888888888889
train_Subject_14_183.png,160,17675,17515,109.46875
train_Subject_14_184.png,118,17185,17067,144.635593220339
train_Subject_14_185.png,95,17213,17118,180.18947368421053
train_Subject_14_186.png,58,17413,17355,299.2241379310345
train_Subject_14_187.png,41,17723,17682,431.2682926829268
train_Subject_14_188.png,34,17521,17487,514.3235294117648
train_Subject_14_189.png,29,17710,17681,609.6896551724138
train_Subject_14_190.png,23,17902,17879,777.3478260869565
train_Subject_15_0.png,0,4309,4309,inf
train_Subject_15_1.png,0,10911,10911,inf
train_Subject_15_10.png,0,26258,26258,inf
train_Subject_15_100.png,0,2174,2174,inf
train_Subject_15_101.png,0,2194,2194,inf
train_Subject_15_76.png,6,3308,3302,550.3333333333334
train_Subject_15_77.png,18,7745,7727,429.27777777777777
train_Subject_15_78.png,26,16295,16269,625.7307692307693
train_Subject_15_79.png,34,3596,3562,104.76470588235294
train_Subject_15_80.png,62,2181,2119,34.17741935483871
train_Subject_15_81.png,68,2226,2158,31.735294117647058
train_Subject_15_82.png,88,2293,2205,25.056818181818183
train_Subject_15_83.png,113,2218,2105,18.628318584070797
train_Subject_15_84.png,125,2413,2288,18.304
train_Subject_15_85.png,121,2368,2247,18.570247933884296
train_Subject_15_86.png,148,2239,2091,14.128378378378379
train_Subject_15_87.png,121,2356,2235,18.47107438016529
train_Subject_15_88.png,78,2279,2201,28.21794871794872
train_Subject_15_89.png,14,2378,2364,168.85714285714286
train_Subject_15_90.png,7,2215,2208,315.42857142857144
train_Subject_17_0.png,0,1069,1069,inf
train_Subject_17_1.png,0,991,991,inf
train_Subject_17_10.png,0,991,991,inf
train_Subject_17_100.png,0,1859,1859,inf
train_Subject_17_101.png,0,1854,1854,inf
train_Subject_17_280.png,8,1446,1438,179.75
train_Subject_17_281.png,64,1473,1409,22.015625
train_Subject_17_282.png,145,1580,1435,9.89655172413793
train_Subject_17_283.png,150,1487,1337,8.913333333333334
train_Subject_17_284.png,166,1433,1267,7.632530120481928
train_Subject_17_285.png,154,1382,1228,7.974025974025974
train_Subject_17_286.png,192,1423,1231,6.411458333333333
train_Subject_17_287.png,209,1382,1173,5.6124401913875595
train_Subject_17_288.png,202,1527,1325,6.5594059405940595
train_Subject_17_289.png,208,1495,1287,6.1875
train_Subject_17_290.png,190,1503,1313,6.910526315789474
train_Subject_17_291.png,178,1457,1279,7.185393258426966
train_Subject_17_292.png,210,1310,1100,5.238095238095238
